method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,generated,question
A3_predictor,short_qa,0,6.196221828460693,490.8908631580639,0.05590880000090692,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,21.623825073242188,False," Well, yesterday afternoon, I've been asked questions about the same thing happening in the same vein. It happened in",What is the capital of France?
A3_predictor,short_qa,1,6.218240261077881,501.8193834760032,0.05080370001087431,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,19.775514602661133,False," Well, we've been able successfully enough to achieve a lot of things happen hereabouts. Firstly, we've been able",What is the capital of Japan?
A3_predictor,short_qa,2,5.8914475440979,361.9288132828052,0.04874790000030771,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,17.820035934448242,False," Well, yesterday afternoon, I've been asked questions about the same thing happening in the same vein. It happened in",What is the capital of Italy?
A3_predictor,short_qa,3,6.2242913246154785,504.8651301597432,0.049744299991289154,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,20.232410430908203,False," Well, we're gonna go ahead heretical beliefs that are not necessarily necessarily true. But nevertheless nonetheless nonetheless nonetheless …there",What is the capital of Egypt?
A3_predictor,short_qa,4,6.082901477813721,438.2990665924738,0.0499880999996094,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,22.694795608520508,False," Well, we're gonna be able to get rid of the entire thing. But unfortunately thereabouts due lacklustlustlust",What is the capital of Canada?
A3_predictor,short_qa,5,6.0337042808532715,417.25781028849866,0.04956800000218209,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,18.870441436767578,False," Well, yesterday afternoon, I've been asked questions about the same thing happening in the same vein. It happened in",What is the capital of Spain?
A3_predictor,short_qa,6,6.08888578414917,440.92984631829296,0.04780210000171792,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,19.59562873840332,False," Well, we've got plenty of opportunities hereabouts. Firstly suppose you're going to be able accessibly accessibly access",What is the capital of Russia?
A3_predictor,short_qa,7,6.060016632080078,428.3825616931065,0.04937699998845346,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,20.35584831237793,False," Well, we've got plenty of opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities opportunities",What is the capital of Germany?
A3_predictor,short_qa,8,6.076718807220459,435.5975676868071,0.04978429999027867,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,13,medium,False,,,,20.161773681640625,False," Well, we've been able successfully enough to achieve successively achieve successively achieveable outcomes. However, unfortunately there are",What is the capital of China?
A3_predictor,short_qa,9,5.681847095489502,293.4910355378714,0.07325630000559613,8,0.33333333333333337,medium,full,full,0.7011370464520456,False,8,0.6666666666666666,56702976,15,medium,False,,,,6.964771747589111,False," Well, we're gonna be able to get rid of the entire thing. But unfortunately thereabouts due lacklustlustlust",What is the capital of Kenya?
