method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,generated,question
A5_depth_attention,short_qa,0,9.307012557983398,11014.992275700417,0.02070560000720434,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,25.456645965576172,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the capital of France?
A5_depth_attention,short_qa,1,8.836146354675293,6878.434453532933,0.020405399991432205,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,20.291275024414062,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're gonna be able't,What is the capital of Japan?
A5_depth_attention,short_qa,2,8.810133934020996,6701.816808184228,0.017944000006536953,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,20.321491241455078,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the capital of Italy?
A5_depth_attention,short_qa,3,8.974335670471191,7897.769607837509,0.018402599991532043,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,23.435020446777344,False, If you're not necessarily meaningsomethingelseage. If you're not necessarily equal equal equal equal equalizer. If,What is the capital of Egypt?
A5_depth_attention,short_qa,4,8.663795471191406,5789.466769170565,0.018445599998813123,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,22.46381187438965,False, What happens when you're not necessarily exists within the same thing happens differently than usual timescale. If you're not necessarily,What is the capital of Canada?
A5_depth_attention,short_qa,5,8.865326881408691,7082.107992377689,0.023292599988053553,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,20.88690757751465,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the capital of Spain?
A5_depth_attention,short_qa,6,9.057220458984375,8580.268270784232,0.015826899994863197,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,23.036890029907227,False, What happens when you're gonna behemothfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck,What is the capital of Russia?
A5_depth_attention,short_qa,7,9.216079711914062,10057.558415036014,0.014743299994734116,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,23.89282989501953,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the capital of Germany?
A5_depth_attention,short_qa,8,8.896142959594727,7303.7482889220555,0.015071800007717684,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,22.801828384399414,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the capital of China?
A5_depth_attention,short_qa,9,8.065019607543945,3181.218592453554,0.02022039999428671,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.554834523036989,47256576,15,medium,False,,,,7.910031795501709,False, If you're not necessarily meaningsomethingelseage. If you're not necessarily equal equal equal equal equal equalizer.,What is the capital of Kenya?
A5_depth_attention,short_qa,10,7.511384010314941,1828.7427910462445,0.016434599994681776,8,0.33333333333333337,medium,reduced,full,0.7095196152280409,False,8,0.5547866205305652,47256576,16,medium,False,,,,20.314008712768555,False, The most likely occurs in the same exacting itself. If you're not necessarily exists within the same thing happens differently than,What is the largest planet in the solar system?
A5_depth_attention,short_qa,11,8.24423885345459,3805.6377073522617,0.01568799999949988,8,0.33333333333333337,medium,reduced,full,0.7067797319011154,False,8,0.554834523036989,47256576,15,medium,False,,,,17.165719985961914,False, If you're not necessarily exists within the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the closest planet to the Sun?
A5_depth_attention,short_qa,12,8.006218910217285,2999.5540608480214,0.019725700010894798,8,0.33333333333333337,medium,reduced,full,0.7067797319011154,False,8,0.554834523036989,47256576,15,medium,False,,,,16.707843780517578,False, Yesterdaydaysdaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,Which planet is known as the Red Planet?
A5_depth_attention,short_qa,13,8.395821571350098,4428.523763839647,0.01716580000356771,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5548824462714553,47256576,14,medium,False,,,,12.275257110595703,True, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're gonna be able to,What is the chemical symbol for oxygen?
A5_depth_attention,short_qa,14,8.632770538330078,5612.60667375781,0.01599970000097528,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5548824462714553,47256576,14,medium,False,,,,23.07430648803711,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're gonna be able't,What is the chemical symbol for gold?
A5_depth_attention,short_qa,15,9.160228729248047,9511.232325805679,0.01743170000554528,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5548824462714553,47256576,14,medium,False,,,,19.390010833740234,True, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're gonna be able't,What is the chemical symbol for iron?
A5_depth_attention,short_qa,16,10.443397521972656,34317.04752148949,0.01544859999557957,8,0.33333333333333337,medium,reduced,full,0.8230328409537006,False,8,0.554834523036989,47256576,15,medium,False,,,,15.795257568359375,False," If you're not necessarily wrong, please note how much damage damage damage inflicted by the same exactions are not necessarily conve",What gas do plants absorb from the air?
A5_depth_attention,short_qa,17,8.317994117736816,4096.933793793148,0.01580719999037683,8,0.33333333333333337,medium,reduced,full,0.7095196152280409,False,8,0.5547866205305652,47256576,16,medium,False,,,,12.400786399841309,False, If you're not necessarily mean that we're not necessarily existentially existable. If you're not necessarily existentially exist,What is the freezing point of water in Celsius?
A5_depth_attention,short_qa,18,8.248464584350586,3821.753334361546,0.018702699991990812,8,0.33333333333333337,medium,reduced,full,0.7095196152280409,False,8,0.5547866205305652,47256576,16,medium,False,,,,13.61633014678955,False, If you're not necessarily mean that thereabouts. If you're not necessarily equal equal equal equal equal amounts of the same,What is the boiling point of water in Celsius?
A5_depth_attention,short_qa,19,6.400419235229492,602.0974054116384,0.018958000000566244,8,0.33333333333333337,medium,reduced,full,0.5440867421577419,False,8,0.5548824462714553,47256576,14,medium,False,,,,9.153726577758789,False," Yesterdaydays.
",How many days are in a week?
A5_depth_attention,short_qa,20,7.713596820831299,2238.579564755881,0.01831429998856038,8,0.33333333333333337,medium,reduced,full,0.5440867421577419,False,8,0.5548824462714553,47256576,14,medium,False,,,,11.494220733642578,False," Yesterdaydaysdays.
",How many months are in a year?
A5_depth_attention,short_qa,21,7.1048431396484375,1217.8510372090313,0.015680199998314492,8,0.33333333333333337,medium,reduced,full,0.5440867421577419,False,8,0.5548824462714553,47256576,14,medium,False,,,,12.884400367736816,False," Yesterday morning mornings, huh huh huh huh huh huh huh huh huh huh huh huh huh huh huh huh huh huh huh",How many hours are in a day?
A5_depth_attention,short_qa,22,7.435180187225342,1694.5630300962525,0.015339599995058961,8,0.33333333333333337,medium,reduced,full,0.5341666205181964,False,8,0.554978354978355,47256576,12,medium,False,,,,9.862382888793945,False, The most likely scenario: If you're not necessarily exists within the same exactness. If you're not necessarily exists within,How many continents are there?
A5_depth_attention,short_qa,23,8.365782737731934,4297.474217118352,0.015876299992669374,8,0.33333333333333337,medium,reduced,full,0.5440867421577419,False,8,0.5548824462714553,47256576,14,medium,False,,,,11.554689407348633,False, Yesterdaydaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,How many legs does a spider have?
A5_depth_attention,short_qa,24,8.63505744934082,5625.456893813346,0.01728430000366643,8,0.33333333333333337,medium,reduced,full,0.5440867421577419,False,8,0.5548824462714553,47256576,14,medium,False,,,,10.322279930114746,False, Yesterdaydaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,How many sides does a triangle have?
A5_depth_attention,short_qa,25,8.157801628112793,3490.5047355727193,0.017277199993259273,8,0.33333333333333337,medium,reduced,full,0.5440867421577419,False,8,0.554834523036989,47256576,15,medium,False,,,,10.596700668334961,False, Yesterdaydaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,How many sides does a hexagon have?
A5_depth_attention,short_qa,26,7.403843879699707,1642.2850590075377,0.018398700005491264,8,0.33333333333333337,medium,reduced,full,0.5627790248888356,False,8,0.5546908776480761,47256576,18,medium,False,,,,12.851885795593262,False, Yesterdaydays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,How many players are on a soccer team on the field?
A5_depth_attention,short_qa,27,9.21587085723877,10055.458066280466,0.010519100003875792,4,0.6666666666666667,shallow,reduced,full,0.5698061885339285,False,4,0.2774891774891775,23628288,12,shallow,False,,,,7.829874038696289,False,"
",What is 2 plus 2?
A5_depth_attention,short_qa,28,8.324472427368164,4123.561156472726,0.00995699998748023,4,0.6666666666666667,shallow,reduced,full,0.5698061885339285,False,4,0.2774891774891775,23628288,12,shallow,False,,,,10.23959732055664,False,"
",What is 5 times 6?
A5_depth_attention,short_qa,29,8.183119773864746,3580.00606620774,0.011975100002018735,4,0.6666666666666667,shallow,reduced,full,0.8266965061437526,False,4,0.2774651951237106,23628288,13,shallow,False,,,,10.159797668457031,False,"
",What is 100 divided by 4?
A5_depth_attention,short_qa,30,7.591825008392334,1981.9272490569824,0.016141400003107265,8,0.33333333333333337,medium,reduced,full,0.5561725490132504,False,8,0.5548824462714553,47256576,14,medium,False,,,,13.610260963439941,False, If you're not necessarily meaningsomethingelsewise. If you're not necessarily equal equal equal equal equalizer. If,What is the square root of 81?
A5_depth_attention,short_qa,31,9.729684829711914,16809.253708195105,0.01043059999938123,4,0.6666666666666667,shallow,reduced,full,0.5813507912075115,False,4,0.27751317023886846,23628288,11,shallow,False,,,,10.884018898010254,False,"
",What is 7 squared?
A5_depth_attention,short_qa,32,9.016349792480469,8236.656635779424,0.017493600011221133,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5548824462714553,47256576,14,medium,False,,,,15.767833709716797,False, Yesterday morningdreamer extraordinaire@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,Who wrote the play Romeo and Juliet?
A5_depth_attention,short_qa,33,8.33353042602539,4161.082043422456,0.015007299996796064,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,16.229896545410156,False, Theoretical analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis analysis,Who developed the theory of relativity?
A5_depth_attention,short_qa,34,7.736114025115967,2289.5579090989254,0.01574419999087695,8,0.33333333333333337,medium,reduced,full,0.7419083093084068,False,8,0.5547387387387387,47256576,17,medium,False,,,,20.981311798095703,False, Yesterday morning morningsnightmare@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,Who was the first person to walk on the Moon?
A5_depth_attention,short_qa,35,9.348057746887207,11476.511494262091,0.01696520000405144,8,0.33333333333333337,medium,reduced,full,0.6982331940972664,False,8,0.5549303902474212,47256576,13,medium,False,,,,18.384660720825195,False, Yesterday morning morningsnightnightmare@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,Who painted the Mona Lisa?
A5_depth_attention,short_qa,36,7.957117557525635,2855.829313593619,0.016812200003187172,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5548824462714553,47256576,14,medium,False,,,,22.224563598632812,False, The most likely occurs in the same exact opposite directions opposite directions. If you're not necessarily equal equal amounts of the opposite,What is the largest ocean on Earth?
A5_depth_attention,short_qa,37,8.044239044189453,3115.7932203728187,0.019488299993099645,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5548824462714553,47256576,14,medium,False,,,,20.42759895324707,False, The most likely occurs in the same exact opposite directions opposite directions. If you're not necessarily equal equal equal amounts of the,What is the longest river in Africa?
A5_depth_attention,short_qa,38,6.7884931564331055,887.5751168153511,0.0171905000024708,8,0.33333333333333337,medium,reduced,full,0.7067797319011154,False,8,0.554834523036989,47256576,15,medium,False,,,,20.761642456054688,False, The most likely scenario: If you're not necessarily exists within the same exactness. If you're not necessarily exists within,What is the tallest mountain in the world?
A5_depth_attention,short_qa,39,7.034599304199219,1135.2399351691863,0.018714500009082258,8,0.33333333333333337,medium,reduced,full,0.7067797319011154,False,8,0.554834523036989,47256576,15,medium,False,,,,19.530593872070312,False, The most likely scenario: If you're not necessarily exists within the same exactness. If you're not necessarily exists within,What is the largest desert in the world?
A5_depth_attention,short_qa,40,8.821158409118652,6776.109587689266,0.01962140000250656,8,0.33333333333333337,medium,reduced,full,0.8223014197185884,False,8,0.5548824462714553,47256576,14,medium,False,,,,22.279438018798828,False, Yesterdaydaysdaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,What language is primarily spoken in Brazil?
A5_depth_attention,short_qa,41,8.906769752502441,7381.777575663017,0.01702090000617318,8,0.33333333333333337,medium,reduced,full,0.8223014197185884,False,8,0.5548824462714553,47256576,14,medium,False,,,,19.696847915649414,False, Yesterdaydaysdaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,What language is primarily spoken in Austria?
A5_depth_attention,short_qa,42,8.304009437561035,4040.038245268617,0.01596119999885559,8,0.33333333333333337,medium,reduced,full,0.8215540695344039,False,8,0.5549303902474212,47256576,13,medium,False,,,,19.276174545288086,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What currency is used in Japan?
A5_depth_attention,short_qa,43,8.477248191833496,4804.211422128085,0.015244700000039302,8,0.33333333333333337,medium,reduced,full,0.8230328409537006,False,8,0.554834523036989,47256576,15,medium,False,,,,17.691333770751953,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What currency is used in the United Kingdom?
A5_depth_attention,short_qa,44,8.210328102111816,3678.749273682879,0.019424999991315417,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5548824462714553,47256576,14,medium,False,,,,12.028264045715332,False, If you're not necessarily belongs to the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the currency of India?
A5_depth_attention,short_qa,45,9.099871635437012,8954.143235025284,0.016809599997941405,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5547866205305652,47256576,16,medium,False,,,,20.96526527404785,False, Yesterdaydaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,In which country is the Eiffel Tower?
A5_depth_attention,short_qa,46,8.74141788482666,6256.76079213128,0.01552359999914188,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.5548824462714553,47256576,14,medium,False,,,,15.92773151397705,False, Yesterdaydaysdaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,In which country is the Great Wall?
A5_depth_attention,short_qa,47,8.742737770080566,6265.024450778955,0.02775560000736732,8,0.33333333333333337,medium,reduced,full,0.7039857207770905,False,8,0.554834523036989,47256576,15,medium,False,,,,17.43240737915039,False, Yesterdaydaysdaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,In which country is the Taj Mahal?
A5_depth_attention,short_qa,48,9.455307006835938,12775.786859017282,0.016675000006216578,8,0.33333333333333337,medium,reduced,full,0.8237485258742852,False,8,0.5547866205305652,47256576,16,medium,False,,,,13.431965827941895,False," If you're not necessarily correct, please note how much time elapsed between the same exactnessinessinessinessinessinessiness",What colour is the sky on a clear day?
A5_depth_attention,short_qa,49,9.636368751525879,15311.642282679633,0.022152599995024502,8,0.33333333333333337,medium,reduced,full,0.8244486659311875,False,8,0.5547387387387387,47256576,17,medium,False,,,,15.716373443603516,False, Yesterdaydaysdaysdays@gmail@gmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmailgmail,What colour do you get by mixing red and white?
A5_depth_attention,short_qa,50,7.894031047821045,2681.2303334914004,0.016828799998620525,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,13.906335830688477,False, If you're not necessarily mean that thereabouts. If you're not necessarily exists within the same thing happens differently than usual,What is the opposite of hot?
A5_depth_attention,short_qa,51,7.535114288330078,1872.658369524516,0.016213499999139458,8,0.33333333333333337,medium,reduced,full,0.7011370464520456,False,8,0.5549303902474212,47256576,13,medium,False,,,,13.913235664367676,False, If you're not necessarily exists within the same thing happens differently than usual timescale. If you're not necessarily equals equal,What is the opposite of ancient?
