method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,generated,question
routing,short_qa,0,6.108360767364502,449.6011099671154,0.11046100000385195,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,9.07673454284668,False,"
",What is the capital of France?
routing,short_qa,1,6.049655437469482,423.9669217590724,0.09944669999822509,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,9.874520301818848,False,"
",What is the capital of Japan?
routing,short_qa,2,6.215888977050781,500.64084965198896,0.09710110000742134,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,8.905926704406738,False,"
",What is the capital of Italy?
routing,short_qa,3,6.167631149291992,477.05469519411344,0.09906059999775607,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,10.175361633300781,False," I
",What is the capital of Egypt?
routing,short_qa,4,5.955894947052002,386.0222255884898,0.10281989999930374,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,11.280294418334961,False, I have no. I have. I have. I. I. I. I. I. I. I.,What is the capital of Canada?
routing,short_qa,5,6.539113521575928,691.6731528560524,0.10446680001041386,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,8.714546203613281,False,"
",What is the capital of Spain?
routing,short_qa,6,6.432245254516602,621.5679607416341,0.097575699997833,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,8.093459129333496,False," to the question, to the question questions of question of question of question of question for the question of to the question of",What is the capital of Russia?
routing,short_qa,7,5.727153301239014,307.09381930379317,0.1015484999952605,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,9.310836791992188,False,"
",What is the capital of Germany?
routing,short_qa,8,6.714822769165039,824.5376204561112,0.09834189999673981,12,0.0,deep,full,full,,False,12,0.6676044146288682,56724480,13,deep,False,,,,10.79761791229248,False,"
",What is the capital of China?
routing,short_qa,9,6.92183780670166,1014.1821536251988,0.10563140000158455,12,0.0,deep,full,full,,False,12,0.6677482154445166,56724480,15,deep,False,,,,8.247653007507324,False,"
",What is the capital of Kenya?
routing,short_qa,10,5.888128757476807,360.72963978065724,0.09832319999986794,12,0.0,deep,full,full,,False,12,0.6678200692041523,56724480,16,deep,False,,,,10.788078308105469,False,". The question of the "" "" "" "" "" "" ""
",What is the largest planet in the solar system?
routing,short_qa,11,5.5299553871154785,252.13266240724593,0.11164370000187773,12,0.0,deep,full,full,,False,12,0.6677482154445166,56724480,15,deep,False,,,,9.489688873291016,False," I, the the the answer,, of the moon,, of moon, and of, of, of, of",What is the closest planet to the Sun?
routing,short_qa,12,7.021636486053467,1120.618995364504,0.10022469999967143,12,0.0,deep,full,full,,False,12,0.6677482154445166,56724480,15,deep,False,,,,7.774859428405762,False,"
",Which planet is known as the Red Planet?
routing,short_qa,13,6.278225898742676,532.8425082220094,0.10179760000028182,12,0.0,deep,full,full,,False,12,0.667676330592817,56724480,14,deep,False,,,,7.038750648498535,False,"
",What is the chemical symbol for oxygen?
routing,short_qa,14,6.801388740539551,899.0950347778573,0.10438109999813605,12,0.0,deep,full,full,,False,12,0.667676330592817,56724480,14,deep,False,,,,13.314936637878418,False,":
",What is the chemical symbol for gold?
routing,short_qa,15,6.537105083465576,690.2853642462237,0.10835539999243338,12,0.0,deep,full,full,,False,12,0.667676330592817,56724480,14,deep,False,,,,9.27746295928955,False," I have no.
",What is the chemical symbol for iron?
routing,short_qa,16,7.653732776641846,2108.5014832358765,0.0981651000038255,12,0.0,deep,full,full,,False,12,0.6677482154445166,56724480,15,deep,False,,,,9.2084379196167,False,"
",What gas do plants absorb from the air?
routing,short_qa,17,6.138574600219727,463.39258020122253,0.1012019999907352,12,0.0,deep,full,full,,False,12,0.6678200692041523,56724480,16,deep,False,,,,7.650757312774658,False,"
",What is the freezing point of water in Celsius?
routing,short_qa,18,6.675392150878906,792.6582345583741,0.12688880000496283,12,0.0,deep,full,full,,False,12,0.6678200692041523,56724480,16,deep,False,,,,7.894735336303711,False,"
",What is the boiling point of water in Celsius?
routing,short_qa,19,5.989495277404785,399.2130672144797,0.09861939999973401,12,0.0,deep,full,full,,False,12,0.667676330592817,56724480,14,deep,False,,,,6.069884300231934,False,"
",How many days are in a week?
routing,short_qa,20,5.881929874420166,358.50043535567033,0.10305109999899287,12,0.0,deep,full,full,,False,12,0.667676330592817,56724480,14,deep,False,,,,6.468335151672363,False,"
",How many months are in a year?
