method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,question,variant,latency_seconds
static,short_qa,0,3.8153111934661865,45.390879530452004,0.030824800007394515,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,4.884260654449463,False,What is the capital of France?,static,0.030824800007394515
static,short_qa,1,3.775663375854492,43.62643944510153,0.024970300000859424,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.4821882247924805,False,What is the capital of Japan?,static,0.024970300000859424
static,short_qa,2,3.9276249408721924,50.78621405434998,0.02427460000035353,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.2399492263793945,False,What is the capital of Italy?,static,0.02427460000035353
static,short_qa,3,3.809549331665039,45.130095577594425,0.02537040000606794,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.135553359985352,False,What is the capital of Egypt?,static,0.02537040000606794
static,short_qa,4,3.916550397872925,50.226882828500756,0.020194600001559593,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.207631587982178,False,What is the capital of Canada?,static,0.020194600001559593
static,short_qa,5,3.813720703125,45.318743156290736,0.022265999999945052,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,4.738103866577148,False,What is the capital of Spain?,static,0.022265999999945052
static,short_qa,6,3.712308168411255,40.948212903690035,0.023816500004613772,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,4.23508358001709,False,What is the capital of Russia?,static,0.023816500004613772
static,short_qa,7,3.7477824687957764,42.4268946441874,0.024738399995840155,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.019678592681885,False,What is the capital of Germany?,static,0.024738399995840155
static,short_qa,8,3.802137613296509,44.79684054103901,0.026717499989899807,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.373035430908203,False,What is the capital of China?,static,0.026717499989899807
static,short_qa,9,3.4475743770599365,31.424076828250694,0.02249439999286551,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,1.8096026182174683,False,What is the capital of Kenya?,static,0.02249439999286551
static,short_qa,10,2.8705739974975586,17.64714471016618,0.020959900008165278,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,3.720625877380371,False,What is the largest planet in the solar system?,static,0.020959900008165278
static,short_qa,11,3.4268033504486084,30.77809853306078,0.027572200007853098,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,5.525097370147705,False,What is the closest planet to the Sun?,static,0.027572200007853098
static,short_qa,12,3.357172727584839,28.70791094841054,0.021300499996868894,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,2.9955220222473145,False,Which planet is known as the Red Planet?,static,0.021300499996868894
static,short_qa,13,4.066920757293701,58.3769288180235,0.020489000002271496,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.196834564208984,True,What is the chemical symbol for oxygen?,static,0.020489000002271496
static,short_qa,14,4.347254753112793,77.26605710269888,0.024159499997040257,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,9.003032684326172,False,What is the chemical symbol for gold?,static,0.024159499997040257
static,short_qa,15,4.258303642272949,70.68996621655629,0.022951799997827038,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,6.425464153289795,False,What is the chemical symbol for iron?,static,0.022951799997827038
static,short_qa,16,4.450681686401367,85.68533462530321,0.026038900003186427,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,5.559035301208496,False,What gas do plants absorb from the air?,static,0.026038900003186427
static,short_qa,17,3.8027069568634033,44.82235259589126,0.02209460000449326,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,6.575007438659668,False,What is the freezing point of water in Celsius?,static,0.02209460000449326
static,short_qa,18,3.596980094909668,36.48787796609788,0.022293300004093908,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,6.801308631896973,False,What is the boiling point of water in Celsius?,static,0.022293300004093908
static,short_qa,19,3.3012402057647705,27.146285031483114,0.0210808999981964,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.787146091461182,False,How many days are in a week?,static,0.0210808999981964
static,short_qa,20,3.4135336875915527,30.372381360532675,0.022506200009956956,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.014179706573486,False,How many months are in a year?,static,0.022506200009956956
static,short_qa,21,3.228451728820801,25.240547490508007,0.02124609999009408,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.2357177734375,False,How many hours are in a day?,static,0.02124609999009408
static,short_qa,22,3.95865797996521,52.38697438386756,0.022183099994435906,12,0.0,deep,full,full,,False,12,1.0,85054464,12,deep,False,,,,6.037533760070801,False,How many continents are there?,static,0.022183099994435906
static,short_qa,23,3.6979317665100098,40.36373633948864,0.020283000005292706,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.625575065612793,False,How many legs does a spider have?,static,0.020283000005292706
static,short_qa,24,4.009079456329346,55.096128819389115,0.02080779999960214,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.7510480880737305,False,How many sides does a triangle have?,static,0.02080779999960214
static,short_qa,25,3.984055757522583,53.73452709267635,0.0234346000070218,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,5.111665725708008,False,How many sides does a hexagon have?,static,0.0234346000070218
static,short_qa,26,4.056255340576172,57.75762299338689,0.021626599991577677,12,0.0,deep,full,full,,False,12,1.0,85054464,18,deep,False,,,,5.603005409240723,False,How many players are on a soccer team on the field?,static,0.021626599991577677
static,short_qa,27,3.9844789505004883,53.7572719796118,0.023631199990632012,12,0.0,deep,full,full,,False,12,1.0,85054464,12,deep,False,,,,5.013151168823242,False,What is 2 plus 2?,static,0.023631199990632012
static,short_qa,28,4.518373966217041,91.68639153360077,0.02141950000077486,12,0.0,deep,full,full,,False,12,1.0,85054464,12,deep,False,,,,8.026026725769043,False,What is 5 times 6?,static,0.02141950000077486
