method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,generated,question
A1_static,short_qa,0,3.8153111934661865,45.390879530452004,0.07880469999508932,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,4.884260654449463,False," The capital of France is the capital of France.
",What is the capital of France?
A1_static,short_qa,1,3.775663375854492,43.62643944510153,0.06605429999763146,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.4821882247924805,False," The capital of Japan is the capital of Japan.
",What is the capital of Japan?
A1_static,short_qa,2,3.9276249408721924,50.78621405434998,0.0673796999908518,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.2399492263793945,False," The capital of Italy is the capital of Italy.
",What is the capital of Italy?
A1_static,short_qa,3,3.809549331665039,45.130095577594425,0.07059199998911936,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.135553359985352,False," The capital of Egypt is the capital of the Kingdom of God.
",What is the capital of Egypt?
A1_static,short_qa,4,3.916550397872925,50.226882828500756,0.07059250000747852,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.207631587982178,False," The capital of Canada is the capital of Canada.
",What is the capital of Canada?
A1_static,short_qa,5,3.813720703125,45.318743156290736,0.06829739999375306,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,4.738103866577148,False," The capital of Spain is the capital of Spain.
",What is the capital of Spain?
A1_static,short_qa,6,3.712308168411255,40.948212903690035,0.10188149999885354,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,4.23508358001709,False," The capital of Russia is the Russian Federation.
",What is the capital of Russia?
A1_static,short_qa,7,3.7477824687957764,42.4268946441874,0.06575150000571739,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.019678592681885,False," The capital of Germany is the capital of the German people.
",What is the capital of Germany?
A1_static,short_qa,8,3.802137613296509,44.79684054103901,0.0701753000030294,12,0.0,deep,full,full,,False,12,1.0,85054464,13,deep,False,,,,5.373035430908203,False," The capital of China is the capital of China.
",What is the capital of China?
A1_static,short_qa,9,3.4475743770599365,31.424076828250694,0.06690439999511,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,1.8096026182174683,False," The capital of Kenya is the capital of the United States.
",What is the capital of Kenya?
A1_static,short_qa,10,2.8705739974975586,17.64714471016618,0.07232369999110233,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,3.720625877380371,False," The largest planet in the solar system is the Sun.
",What is the largest planet in the solar system?
A1_static,short_qa,11,3.4268033504486084,30.77809853306078,0.07139029999962077,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,5.525097370147705,False," The closest planet is the Sun.
",What is the closest planet to the Sun?
A1_static,short_qa,12,3.357172727584839,28.70791094841054,0.06705370001145639,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,2.9955220222473145,False," The Red Planet is the planet that is known as the Red Planet.
",Which planet is known as the Red Planet?
A1_static,short_qa,13,4.066920757293701,58.3769288180235,0.0685696000000462,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.196834564208984,True," The chemical symbol for oxygen is the symbol for oxygen.
",What is the chemical symbol for oxygen?
A1_static,short_qa,14,4.347254753112793,77.26605710269888,0.0641446000081487,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,9.003032684326172,False," The symbol for gold is the ""golden circle"" (the ""golden circle""). The symbol for gold is the",What is the chemical symbol for gold?
A1_static,short_qa,15,4.258303642272949,70.68996621655629,0.06743720000667963,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,6.425464153289795,False, Iron is a chemical symbol for iron. It is a chemical symbol for iron. It is a chemical symbol for iron.,What is the chemical symbol for iron?
A1_static,short_qa,16,4.450681686401367,85.68533462530321,0.06595389998983592,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,5.559035301208496,False, The air is a mixture of nitrogen and oxygen. The nitrogen is the air that is being absorbed by plants. The oxygen,What gas do plants absorb from the air?
A1_static,short_qa,17,3.8027069568634033,44.82235259589126,0.06942090000666212,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,6.575007438659668,False," The freezing point of water is about 1.5 degrees Celsius.
",What is the freezing point of water in Celsius?
A1_static,short_qa,18,3.596980094909668,36.48787796609788,0.07027440000092611,12,0.0,deep,full,full,,False,12,1.0,85054464,16,deep,False,,,,6.801308631896973,False," The boiling point of water is about 1.5 degrees Celsius.
",What is the boiling point of water in Celsius?
A1_static,short_qa,19,3.3012402057647705,27.146285031483114,0.07036589999916032,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.787146091461182,False,"
",How many days are in a week?
A1_static,short_qa,20,3.4135336875915527,30.372381360532675,0.06940310000209138,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.014179706573486,False," The average is about 1 year.
",How many months are in a year?
A1_static,short_qa,21,3.228451728820801,25.240547490508007,0.07056959999317769,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.2357177734375,False,"
",How many hours are in a day?
A1_static,short_qa,22,3.95865797996521,52.38697438386756,0.06343850000121165,12,0.0,deep,full,full,,False,12,1.0,85054464,12,deep,False,,,,6.037533760070801,False," The number of continents is not known.
",How many continents are there?
A1_static,short_qa,23,3.6979317665100098,40.36373633948864,0.06878440000582486,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,5.625575065612793,False," The spider has about 1.5 legs.
",How many legs does a spider have?
A1_static,short_qa,24,4.009079456329346,55.096128819389115,0.06581569999980275,12,0.0,deep,full,full,,False,12,1.0,85054464,14,deep,False,,,,4.7510480880737305,False," It's a triangle.
",How many sides does a triangle have?
A1_static,short_qa,25,3.984055757522583,53.73452709267635,0.07299970000167377,12,0.0,deep,full,full,,False,12,1.0,85054464,15,deep,False,,,,5.111665725708008,False," The hexagon is a unit of length 1.5.
",How many sides does a hexagon have?
A1_static,short_qa,26,4.056255340576172,57.75762299338689,0.07816089999687392,12,0.0,deep,full,full,,False,12,1.0,85054464,18,deep,False,,,,5.603005409240723,False," The number of players on a soccer team is determined by the number of players on the field.
",How many players are on a soccer team on the field?
