method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,generated,question
A6_depth_ffn,short_qa,0,8.03795337677002,3096.269803574453,0.02123040000151377,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,21.001462936401367,False, Yes yes yes yes yes [ [ [ [ [ [ [ [ ] ] ] ] ] ] ]    ,What is the capital of France?
A6_depth_ffn,short_qa,1,7.891239166259766,2673.755095806454,0.022100100002717227,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,22.192995071411133,False, yes yes yes yes yes - - [ [ [ [ [ [ ] ] ] ] ]      ,What is the capital of Japan?
A6_depth_ffn,short_qa,2,7.4153571128845215,1661.3023349456473,0.01946949999546632,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,17.703065872192383,False, Yes!?!?!!!!!!!!!!!!!!!!!!!!!,What is the capital of Italy?
A6_depth_ffn,short_qa,3,8.212782859802246,3687.7908045971567,0.017770099992048927,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,22.39609718322754,False, Yes!?!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,What is the capital of Egypt?
A6_depth_ffn,short_qa,4,7.4297051429748535,1685.310574436024,0.016457800011266954,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,17.798372268676758,False, yes yes yes yes yes - - [ [ [ [ [ ] ] ] ] ]       ,What is the capital of Canada?
A6_depth_ffn,short_qa,5,7.941133975982666,2810.5457933687444,0.019583500004955567,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,20.788509368896484,False, yes yes yes yes yes - - [ [ [ [ [ [ ] ] ] ] ]      ,What is the capital of Spain?
A6_depth_ffn,short_qa,6,7.24401330947876,1399.700143542265,0.02557340000930708,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,16.391521453857422,False, yes yes yes yes yes - - [ [ [ [ [ [ ] ] ] ] ]      ,What is the capital of Russia?
A6_depth_ffn,short_qa,7,7.293466567993164,1470.660013809091,0.022468099996331148,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,17.614526748657227,False, yes yes yes yes yes - - [ [ [ [ [ [ ] ] ] ] ]      ,What is the capital of Germany?
A6_depth_ffn,short_qa,8,7.833901882171631,2524.761500931414,0.019383499995456077,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.4450696097525788,37816320,13,medium,False,,,,19.769695281982422,False, yes yes yes yes yes - - [ [ [ [ [ [ ] ] ] ] ]      ,What is the capital of China?
A6_depth_ffn,short_qa,9,7.504978656768799,1817.0664822892963,0.01677719999861438,8,0.33333333333333337,medium,full,partial,0.7011370464520456,False,8,0.445165476963011,37816320,15,medium,False,,,,11.098148345947266,False, yes yes yes yes yes - - [ [ [ [ [ ] ] ] ] ]       ,What is the capital of Kenya?
A6_depth_ffn,short_qa,10,6.539943218231201,692.2472698960785,0.020724799993331544,8,0.33333333333333337,medium,full,partial,0.7095196152280409,False,8,0.44521337946943484,37816320,16,medium,False,,,,19.19879150390625,False, yes yes yes yes yes .........................................................,What is the largest planet in the solar system?
A6_depth_ffn,short_qa,11,7.446449279785156,1713.7672214036963,0.014946099996450357,8,0.33333333333333337,medium,full,partial,0.7067797319011154,False,8,0.445165476963011,37816320,15,medium,False,,,,20.847702026367188,False, yes yes yes yes yes yes - - - - - - - - - - - - - - - - - -,What is the closest planet to the Sun?
