mechanism,threshold,accepted,fallback_count,average_depth,relative_flops,latency_mean,loss,relative_loss_increase,target_agreement,share_shallow,share_medium,share_deep,selected
depth,0.0,160,0,8.725,0.7271,0.0519,6.2259,0.5845,0.7125,0.0875,0.6438,0.2688,False
depth,0.4,158,2,8.8,0.7333,0.0521,6.1653,0.5691,0.725,0.0812,0.6375,0.2812,True
depth,0.5,143,17,9.05,0.7542,0.0541,5.9771,0.5212,0.725,0.0812,0.575,0.3438,False
depth,0.6,121,39,9.45,0.7875,0.0551,5.6523,0.4385,0.6688,0.075,0.4875,0.4375,False
depth,0.7,86,74,10.125,0.8438,0.0568,5.1455,0.3095,0.575,0.075,0.3188,0.6062,False
depth,0.8,40,120,11.175,0.9312,0.0599,4.3243,0.1005,0.45,0.0688,0.0688,0.8625,False
full,0.0,160,0,8.725,0.4979,0.0463,7.735,0.9685,0.35,0.0875,0.6438,0.2688,False
full,0.4,158,2,8.8,0.5073,0.0465,7.6563,0.9485,0.3625,0.0812,0.6375,0.2812,False
full,0.5,143,17,9.05,0.549,0.048,7.3097,0.8603,0.3875,0.0812,0.575,0.3438,False
full,0.6,121,39,9.45,0.6125,0.0495,6.7565,0.7195,0.4438,0.075,0.4875,0.4375,False
full,0.7,86,74,10.125,0.725,0.0523,5.7989,0.4758,0.55,0.075,0.3188,0.6062,False
full,0.8,40,120,11.175,0.8969,0.0579,4.4116,0.1227,0.7062,0.0688,0.0688,0.8625,False
